и;и;normal;и;и;-1
они;они́;normal;они;они́;16
они;они;form;они;они́;16
их;их;form;они;они́;16
,&#160;;,&#160;;form;они;они́;16
них;них;form;они;они́;16
им;им;form;они;они́;16
,&#160;;,&#160;;form;они;они́;16
ним;ним;form;они;они́;16
их;их;form;они;они́;16
,&#160;;,&#160;;form;они;они́;16
них;них;form;они;они́;16
ими;и́ми;form;они;они́;16
,&#160;;,&#160;;form;они;они́;16
ними;ни́ми;form;они;они́;16
них;них;form;они;они́;16
к;к;normal;к;к;17
у;у;normal;у;у;18
из;из;normal;из;из;19
мы;мы;normal;мы;мы;20
мы;мы;form;мы;мы;20
нас;нас;form;мы;мы;20
нам;нам;form;мы;мы;20
нас;нас;form;мы;мы;20
нами;на́ми;form;мы;мы;20
нас;нас;form;мы;мы;20
за;за;normal;за;за;21
ты;ты;normal;ты;ты;22
ты;ты;form;ты;ты;22
тебя;тебя́;form;ты;ты;22
тебе;тебе́;form;ты;ты;22
тебя;тебя́;form;ты;ты;22
тобой;тобо́й;form;ты;ты;22
тобою;тобо́ю;form;ты;ты;22
тебе;тебе́;form;ты;ты;22
вы;вы;normal;вы;вы;23
вы;вы;form;вы;вы;23
вас;вас;form;вы;вы;23
вам;вам;form;вы;вы;23
вас;вас;form;вы;вы;23
вами;ва́ми;form;вы;вы;23
вас;вас;form;вы;вы;23
так;так;normal;так;так;24
же;же;normal;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
же;же;form;же;же;25
сказать;сказа́ть;normal;сказать;сказа́ть;26
скажу;скажу́;form;сказать;сказа́ть;26
сказал;сказа́л;form;сказать;сказа́ть;26
сказала;сказа́ла;form;сказать;сказа́ть;26
скажешь;ска́жешь;form;сказать;сказа́ть;26
сказал;сказа́л;form;сказать;сказа́ть;26
сказала;сказа́ла;form;сказать;сказа́ть;26
скажи;скажи́;form;сказать;сказа́ть;26
скажет;ска́жет;form;сказать;сказа́ть;26
сказал;сказа́л;form;сказать;сказа́ть;26
сказала;сказа́ла;form;сказать;сказа́ть;26
сказало;сказа́ло;form;сказать;сказа́ть;26
скажем;ска́жем;form;сказать;сказа́ть;26
сказали;сказа́ли;form;сказать;сказа́ть;26
скажемте;ска́жемте;form;сказать;сказа́ть;26
скажете;ска́жете;form;сказать;сказа́ть;26
сказали;сказа́ли;form;сказать;сказа́ть;26
скажите;скажи́те;form;сказать;сказа́ть;26
скажут;ска́жут;form;сказать;сказа́ть;26
сказали;сказа́ли;form;сказать;сказа́ть;26
сказавший;сказа́вший;form;сказать;сказа́ть;26
сказав;сказа́в;form;сказать;сказа́ть;26
сказавши;сказа́вши;form;сказать;сказа́ть;26
сказанный;ска́занный;form;сказать;сказа́ть;26
от;от;normal;от;от;27
этот;этот;normal;этот;этот;28
этот;э́тот;form;этот;этот;28
это;э́то;form;этот;этот;28
эта;э́та;form;этот;этот;28
эти;э́ти;form;этот;этот;28
этого;э́того;form;этот;этот;28
этого;э́того;form;этот;этот;28
этой;э́той;form;этот;этот;28
этих;э́тих;form;этот;этот;28
этому;э́тому;form;этот;этот;28
этому;э́тому;form;этот;этот;28
этой;э́той;form;этот;этот;28
этим;э́тим;form;этот;этот;28
этого;э́того;form;этот;этот;28
это;э́то;form;этот;этот;28
эту;э́ту;form;этот;этот;28
этих;э́тих;form;этот;этот;28
этот;э́тот;form;этот;этот;28
эти;э́ти;form;этот;этот;28
этим;э́тим;form;этот;этот;28
этим;э́тим;form;этот;этот;28
этими;э́тими;form;этот;этот;28
этом;э́том;form;этот;этот;28
этом;э́том;form;этот;этот;28
этой;э́той;form;этот;этот;28
этих;э́тих;form;этот;этот;28
который;кото́рый;normal;который;кото́рый;29
который;кото́рый;form;который;кото́рый;29
которое;кото́рое;form;который;кото́рый;29
которая;кото́рая;form;который;кото́рый;29
которые;кото́рые;form;который;кото́рый;29
которого;кото́рого;form;который;кото́рый;29
которого;кото́рого;form;который;кото́рый;29
которой;кото́рой;form;который;кото́рый;29
которых;кото́рых;form;который;кото́рый;29
которому;кото́рому;form;который;кото́рый;29
которому;кото́рому;form;который;кото́рый;29
которой;кото́рой;form;который;кото́рый;29
которым;кото́рым;form;который;кото́рый;29
которого;кото́рого;form;который;кото́рый;29
которое;кото́рое;form;который;кото́рый;29
которую;кото́рую;form;который;кото́рый;29
которых;кото́рых;form;который;кото́рый;29
который;кото́рый;form;который;кото́рый;29
которые;кото́рые;form;который;кото́рый;29
которым;кото́рым;form;который;кото́рый;29
которым;кото́рым;form;который;кото́рый;29
которыми;кото́рыми;form;который;кото́рый;29
котором;кото́ром;form;который;кото́рый;29
котором;кото́ром;form;который;кото́рый;29
которой;кото́рой;form;который;кото́рый;29
которых;кото́рых;form;который;кото́рый;29
мочь;мочь;normal;мочь;мочь;30
могу;могу́;form;мочь;мочь;30
мог;мо́г;form;мочь;мочь;30
могла;могла́;form;мочь;мочь;30
можешь;мо́жешь;form;мочь;мочь;30
мог;мо́г;form;мочь;мочь;30
могла;могла́;form;мочь;мочь;30
&#42;;&#42;;form;мочь;мочь;30
моги;моги́;form;мочь;мочь;30
может;мо́жет;form;мочь;мочь;30
мог;мо́г;form;мочь;мочь;30
могла;могла́;form;мочь;мочь;30
могло;могло́;form;мочь;мочь;30
можем;мо́жем;form;мочь;мочь;30
могли;могли́;form;мочь;мочь;30
можете;мо́жете;form;мочь;мочь;30
могли;могли́;form;мочь;мочь;30
&#42;;&#42;;form;мочь;мочь;30
могите;моги́те;form;мочь;мочь;30
могут;мо́гут;form;мочь;мочь;30
могли;могли́;form;мочь;мочь;30
могущий;могу́щий;form;мочь;мочь;30
могший;мо́гший;form;мочь;мочь;30
могши;мо́гши;form;мочь;мочь;30
о;о;normal;о;о;31
человек;челове́к;normal;человек;челове́к;32
обычное;обычное;form;человек;челове́к;32
человек;челове́к;form;человек;челове́к;32
люди;лю́ди;form;человек;челове́к;32
человеки;челове́ки;form;человек;челове́к;32
человека;челове́ка;form;человек;челове́к;32
людей;люде́й;form;человек;челове́к;32
человек;челове́к;form;человек;челове́к;32
человеков;челове́ков;form;человек;челове́к;32
человеку;челове́ку;form;человек;челове́к;32
людям;лю́дям;form;человек;челове́к;32
человекам;челове́кам;form;человек;челове́к;32
человекам;челове́кам;form;человек;челове́к;32
человека;челове́ка;form;человек;челове́к;32
людей;люде́й;form;человек;челове́к;32
человеков;челове́ков;form;человек;челове́к;32
человеком;челове́ком;form;человек;челове́к;32
людьми;людьми́;form;человек;челове́к;32
человеками;челове́ками;form;человек;челове́к;32
человеками;челове́ками;form;человек;челове́к;32
человеке;челове́ке;form;человек;челове́к;32
людях;лю́дях;form;человек;челове́к;32
человеках;челове́ках;form;человек;челове́к;32
человеках;челове́ках;form;человек;челове́к;32
человече;челове́че;form;человек;челове́к;32
люди;лю́ди;form;человек;челове́к;32
один;оди́н;normal;один;оди́н;33
один;оди́н;form;один;оди́н;33
одно;одно́;form;один;оди́н;33
одна;одна́;form;один;оди́н;33
одни;одни́;form;один;оди́н;33
одного;одного́;form;один;оди́н;33
одного;одного́;form;один;оди́н;33
одной;одно́й;form;один;оди́н;33
одних;одни́х;form;один;оди́н;33
одному;одному́;form;один;оди́н;33
одному;одному́;form;один;оди́н;33
одной;одно́й;form;один;оди́н;33
одним;одни́м;form;один;оди́н;33
&#160;(;&#160;(;form;один;оди́н;33
одного;одного́;form;один;оди́н;33
один;оди́н;form;один;оди́н;33
одно;одно́;form;один;оди́н;33
одну;одну́;form;один;оди́н;33
одних;одни́х;form;один;оди́н;33
одни;одни́;form;один;оди́н;33
одним;одни́м;form;один;оди́н;33
одним;одни́м;form;один;оди́н;33
одними;одни́ми;form;один;оди́н;33
одном;одно́м;form;один;оди́н;33
одном;одно́м;form;один;оди́н;33
одной;одно́й;form;один;оди́н;33
одних;одни́х;form;один;оди́н;33
еще;еще;normal;еще;еще;34
бы;бы;normal;бы;бы;35
такой;тако́й;normal;такой;тако́й;36
такой;тако́й;form;такой;тако́й;36
такое;тако́е;form;такой;тако́й;36
такая;така́я;form;такой;тако́й;36
такие;таки́е;form;такой;тако́й;36
такого;тако́го;form;такой;тако́й;36
такого;тако́го;form;такой;тако́й;36
такой;тако́й;form;такой;тако́й;36
таких;таки́х;form;такой;тако́й;36
такому;тако́му;form;такой;тако́й;36
такому;тако́му;form;такой;тако́й;36
такой;тако́й;form;такой;тако́й;36
таким;таки́м;form;такой;тако́й;36
такого;тако́го;form;такой;тако́й;36
такое;тако́е;form;такой;тако́й;36
такую;таку́ю;form;такой;тако́й;36
таких;таки́х;form;такой;тако́й;36
такой;тако́й;form;такой;тако́й;36
такие;таки́е;form;такой;тако́й;36
таким;таки́м;form;такой;тако́й;36
таким;таки́м;form;такой;тако́й;36
такими;таки́ми;form;такой;тако́й;36
таком;тако́м;form;такой;тако́й;36
таком;тако́м;form;такой;тако́й;36
такой;тако́й;form;такой;тако́й;36
таких;таки́х;form;такой;тако́й;36
только;то́лько;normal;только;то́лько;37
себя;себя́;normal;себя;себя́;38
себя;себя́;form;себя;себя́;38
себе;себе́;form;себя;себя́;38
себя;себя́;form;себя;себя́;38
собой;собо́й;form;себя;себя́;38
собою;собо́ю;form;себя;себя́;38
себе;себе́;form;себя;себя́;38
свое;свое;normal;свое;свое;39
свой;свой;form;свое;свое;39
своё;своё;form;свое;свое;39
свое;своё;normal;свое;свое;39
своя;своя́;form;свое;свое;39
свои;свои́;form;свое;свое;39
своего;своего́;form;свое;свое;39
своего;своего́;form;свое;свое;39
своей;свое́й;form;свое;свое;39
своих;свои́х;form;свое;свое;39
своему;своему́;form;свое;свое;39
своему;своему́;form;свое;свое;39
своей;свое́й;form;свое;свое;39
своим;свои́м;form;свое;свое;39
своего;своего́;form;свое;свое;39
своё;своё;form;свое;свое;39
свое;своё;normal;свое;свое;39
свою;свою́;form;свое;свое;39
своих;свои́х;form;свое;свое;39
свой;свой;form;свое;свое;39
свои;свои́;form;свое;свое;39
своим;свои́м;form;свое;свое;39
своим;свои́м;form;свое;свое;39
своей;свое́й;form;свое;свое;39
своею;свое́ю;form;свое;свое;39
своими;свои́ми;form;свое;свое;39
своём;своём;form;свое;свое;39
своем;своём;normal;свое;свое;39
своём;своём;form;свое;свое;39
своем;своём;normal;свое;свое;39
своей;свое́й;form;свое;свое;39
своих;свои́х;form;свое;свое;39
какой;како́й;normal;какой;како́й;40
какой;како́й;form;какой;како́й;40
какое;како́е;form;какой;како́й;40
какая;кака́я;form;какой;како́й;40
какие;каки́е;form;какой;како́й;40
какого;како́го;form;какой;како́й;40
какого;како́го;form;какой;како́й;40
какой;како́й;form;какой;како́й;40
каких;каки́х;form;какой;како́й;40
какому;како́му;form;какой;како́й;40
какому;како́му;form;какой;како́й;40
какой;како́й;form;какой;како́й;40
каким;каки́м;form;какой;како́й;40
какого;како́го;form;какой;како́й;40
какое;како́е;form;какой;како́й;40
какую;каку́ю;form;какой;како́й;40
каких;каки́х;form;какой;како́й;40
какой;како́й;form;какой;како́й;40
какие;каки́е;form;какой;како́й;40
каким;каки́м;form;какой;како́й;40
каким;каки́м;form;какой;како́й;40
какими;каки́ми;form;какой;како́й;40
каком;како́м;form;какой;како́й;40
каком;како́м;form;какой;како́й;40
какой;како́й;form;какой;како́й;40
каких;каки́х;form;какой;како́й;40
для;для;normal;для;для;41
уже;уже́;normal;уже;уже́;42
когда;когда́;normal;когда;когда́;43
кто;кто;normal;кто;кто;44
кто;кто́;form;кто;кто;44
кого;кого́;form;кто;кто;44
кому;кому́;form;кто;кто;44
кого;кого́;form;кто;кто;44
кем;ке́м;form;кто;кто;44
ком;ком;form;кто;кто;44
вот;вот;normal;вот;вот;45
да;да;normal;да;да;46
год;год;normal;год;год;47
год;год;form;год;год;47
го́ды&#160;//;го́ды&#160;//;form;год;год;47
года;года́;form;год;год;47
года;го́да;form;год;год;47
году;го́ду;form;год;год;47
годам;года́м;form;год;год;47
год;год;form;год;год;47
го́ды&#160;//;го́ды&#160;//;form;год;год;47
года;года́;form;год;год;47
годом;го́дом;form;год;год;47
годами;года́ми;form;год;год;47
годе;го́де;form;год;год;47
годах;года́х;form;год;год;47
знать;знать;normal;знать;знать;48
знаю;зна́ю;form;знать;знать;48
знал;зна́л;form;знать;знать;48
знала;зна́ла;form;знать;знать;48
знаешь;зна́ешь;form;знать;знать;48
знал;зна́л;form;знать;знать;48
знала;зна́ла;form;знать;знать;48
знай;зна́й;form;знать;знать;48
знает;зна́ет;form;знать;знать;48
знал;зна́л;form;знать;знать;48
знала;зна́ла;form;знать;знать;48
знало;зна́ло;form;знать;знать;48
знаем;зна́ем;form;знать;знать;48
знали;зна́ли;form;знать;знать;48
знаете;зна́ете;form;знать;знать;48
знали;зна́ли;form;знать;знать;48
знайте;зна́йте;form;знать;знать;48
знают;зна́ют;form;знать;знать;48
знали;зна́ли;form;знать;знать;48
знающий;зна́ющий;form;знать;знать;48
знавший;зна́вший;form;знать;знать;48
зная;зна́я;form;знать;знать;48
знав;зна́в;form;знать;знать;48
знавши;зна́вши;form;знать;знать;48
знаемый;зна́емый;form;знать;знать;48
если;е́сли;normal;если;е́сли;49
до;до;normal;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
до;до;form;до;до;50
говорить;говори́ть;normal;говорить;говори́ть;51
говорю;говорю́;form;говорить;говори́ть;51
говорил;говори́л;form;говорить;говори́ть;51
говорила;говори́ла;form;говорить;говори́ть;51
говоришь;говори́шь;form;говорить;говори́ть;51
говорил;говори́л;form;говорить;говори́ть;51
говорила;говори́ла;form;говорить;говори́ть;51
говори;говори́;form;говорить;говори́ть;51
говорит;говори́т;form;говорить;говори́ть;51
говорил;говори́л;form;говорить;говори́ть;51
говорила;говори́ла;form;говорить;говори́ть;51
говорило;говори́ло;form;говорить;говори́ть;51
говорим;говори́м;form;говорить;говори́ть;51
говорили;говори́ли;form;говорить;говори́ть;51
говорите;говори́те;form;говорить;говори́ть;51
говорили;говори́ли;form;говорить;говори́ть;51
говорите;говори́те;form;говорить;говори́ть;51
говорят;говоря́т;form;говорить;говори́ть;51
говорили;говори́ли;form;говорить;говори́ть;51
говорящий;говоря́щий;form;говорить;говори́ть;51
говоривший;говори́вший;form;говорить;говори́ть;51
говоря;говоря́;form;говорить;говори́ть;51
говорив;говори́в;form;говорить;говори́ть;51
говоривши;говори́вши;form;говорить;говори́ть;51
говоримый;говори́мый;form;говорить;говори́ть;51
говорённый;говорённый;form;говорить;говори́ть;51
говоренный;говорённый;normal;говорить;говори́ть;51
или;и́ли;normal;или;и́ли;52
мой;мой;normal;мой;мой;53
мой;мой;form;мой;мой;53
моё;моё;form;мой;мой;53
мое;моё;normal;мой;мой;53
моя;моя́;form;мой;мой;53
мои;мои́;form;мой;мой;53
моего;моего́;form;мой;мой;53
моего;моего́;form;мой;мой;53
моей;мое́й;form;мой;мой;53
моих;мои́х;form;мой;мой;53
моему;моему́;form;мой;мой;53
моему;моему́;form;мой;мой;53
моей;мое́й;form;мой;мой;53
моим;мои́м;form;мой;мой;53
моего;моего́;form;мой;мой;53
моё;моё;form;мой;мой;53
мое;моё;normal;мой;мой;53
мою;мою́;form;мой;мой;53
моих;мои́х;form;мой;мой;53
мой;мой;form;мой;мой;53
мои;мои́;form;мой;мой;53
моим;мои́м;form;мой;мой;53
моим;мои́м;form;мой;мой;53
моей;мое́й;form;мой;мой;53
моею;мое́ю;form;мой;мой;53
моими;мои́ми;form;мой;мой;53
моём;моём;form;мой;мой;53
моем;моём;normal;мой;мой;53
моём;моём;form;мой;мой;53
моем;моём;normal;мой;мой;53
моей;мое́й;form;мой;мой;53
моих;мои́х;form;мой;мой;53
время;вре́мя;normal;время;вре́мя;54
время;вре́мя;form;время;вре́мя;54
времена;времена́;form;время;вре́мя;54
времени;вре́мени;form;время;вре́мя;54
времён;времён;form;время;вре́мя;54
времен;времён;normal;время;вре́мя;54
времени;вре́мени;form;время;вре́мя;54
временам;времена́м;form;время;вре́мя;54
время;вре́мя;form;время;вре́мя;54
времена;времена́;form;время;вре́мя;54
временем;вре́менем;form;время;вре́мя;54
временами;времена́ми;form;время;вре́мя;54
времени;вре́мени;form;время;вре́мя;54
временах;времена́х;form;время;вре́мя;54
рука;рука́;normal;рука;рука́;55
рука;рука́;form;рука;рука́;55
руки;ру́ки;form;рука;рука́;55
руки;руки́;form;рука;рука́;55
рук;ру́к;form;рука;рука́;55
руке;руке́;form;рука;рука́;55
рукам;рука́м;form;рука;рука́;55
руку;ру́ку;form;рука;рука́;55
руки;ру́ки;form;рука;рука́;55
рукой;руко́й;form;рука;рука́;55
рукою;руко́ю;form;рука;рука́;55
руками;рука́ми;form;рука;рука́;55
руке;руке́;form;рука;рука́;55
руках;рука́х;form;рука;рука́;55
самый;са́мый;normal;самый;са́мый;56
самый;са́мый;form;самый;са́мый;56
самое;са́мое;form;самый;са́мый;56
самая;са́мая;form;самый;са́мый;56
самые;са́мые;form;самый;са́мый;56
самого;са́мого;form;самый;са́мый;56
самого;са́мого;form;самый;са́мый;56
самой;са́мой;form;самый;са́мый;56
самых;са́мых;form;самый;са́мый;56
самому;са́мому;form;самый;са́мый;56
самому;са́мому;form;самый;са́мый;56
самой;са́мой;form;самый;са́мый;56
самым;са́мым;form;самый;са́мый;56
самого;са́мого;form;самый;са́мый;56
самое;са́мое;form;самый;са́мый;56
самую;са́мую;form;самый;са́мый;56
самых;са́мых;form;самый;са́мый;56
самый;са́мый;form;самый;са́мый;56
самые;са́мые;form;самый;са́мый;56
самым;са́мым;form;самый;са́мый;56
самым;са́мым;form;самый;са́мый;56
самыми;са́мыми;form;самый;са́мый;56
самом;са́мом;form;самый;са́мый;56
самом;са́мом;form;самый;са́мый;56
самой;са́мой;form;самый;са́мый;56
самых;са́мых;form;самый;са́мый;56
нет;нет;normal;нет;нет;57
ни;ни;normal;ни;ни;58
стать;стать;normal;стать;стать;59
стану;ста́ну;form;стать;стать;59
стал;ста́л;form;стать;стать;59
стала;ста́ла;form;стать;стать;59
станешь;ста́нешь;form;стать;стать;59
стал;ста́л;form;стать;стать;59
стала;ста́ла;form;стать;стать;59
стань;ста́нь;form;стать;стать;59
станет;ста́нет;form;стать;стать;59
стал;ста́л;form;стать;стать;59
стала;ста́ла;form;стать;стать;59
стало;ста́ло;form;стать;стать;59
станем;ста́нем;form;стать;стать;59
стали;ста́ли;form;стать;стать;59
станемте;ста́немте;form;стать;стать;59
станете;ста́нете;form;стать;стать;59
стали;ста́ли;form;стать;стать;59
станьте;ста́ньте;form;стать;стать;59
станут;ста́нут;form;стать;стать;59
стали;ста́ли;form;стать;стать;59
ставший;ста́вший;form;стать;стать;59
став;ста́в;form;стать;стать;59
ставши;ста́вши;form;стать;стать;59
большой;большо́й;normal;большой;большо́й;60
большой;большо́й;form;большой;большо́й;60
большое;большо́е;form;большой;большо́й;60
большая;больша́я;form;большой;большо́й;60
большие;больши́е;form;большой;большо́й;60
большого;большо́го;form;большой;большо́й;60
большого;большо́го;form;большой;большо́й;60
большой;большо́й;form;большой;большо́й;60
больших;больши́х;form;большой;большо́й;60
большому;большо́му;form;большой;большо́й;60
большому;большо́му;form;большой;большо́й;60
большой;большо́й;form;большой;большо́й;60
большим;больши́м;form;большой;большо́й;60
большого;большо́го;form;большой;большо́й;60
большое;большо́е;form;большой;большо́й;60
большую;большу́ю;form;большой;большо́й;60
больших;больши́х;form;большой;большо́й;60
большой;большо́й;form;большой;большо́й;60
большие;больши́е;form;большой;большо́й;60
большим;больши́м;form;большой;большо́й;60
большим;больши́м;form;большой;большо́й;60
большими;больши́ми;form;большой;большо́й;60
большом;большо́м;form;большой;большо́й;60
большом;большо́м;form;большой;большо́й;60
большой;большо́й;form;большой;большо́й;60
больших;больши́х;form;большой;большо́й;60
велик;вели́к;form;большой;большо́й;60
велико;велико́;form;большой;большо́й;60
велика;велика́;form;большой;большо́й;60
велики;велики́;form;большой;большо́й;60
наш;наш;normal;наш;наш;61
наш;на́ш;form;наш;наш;61
наше;на́ше;form;наш;наш;61
наша;на́ша;form;наш;наш;61
наши;на́ши;form;наш;наш;61
нашего;на́шего;form;наш;наш;61
нашего;на́шего;form;наш;наш;61
нашей;на́шей;form;наш;наш;61
наших;на́ших;form;наш;наш;61
нашему;на́шему;form;наш;наш;61
нашему;на́шему;form;наш;наш;61
нашей;на́шей;form;наш;наш;61
нашим;на́шим;form;наш;наш;61
нашего;на́шего;form;наш;наш;61
наше;на́ше;form;наш;наш;61
нашу;на́шу;form;наш;наш;61
наших;на́ших;form;наш;наш;61
наш;на́ш;form;наш;наш;61
наши;на́ши;form;наш;наш;61
нашим;на́шим;form;наш;наш;61
нашим;на́шим;form;наш;наш;61
нашими;на́шими;form;наш;наш;61
нашем;на́шем;form;наш;наш;61
нашем;на́шем;form;наш;наш;61
нашей;на́шей;form;наш;наш;61
наших;на́ших;form;наш;наш;61
даже;да́же;normal;даже;да́же;62
другой;друго́й;normal;другой;друго́й;63
другой;друго́й;form;другой;друго́й;63
другое;друго́е;form;другой;друго́й;63
другая;друга́я;form;другой;друго́й;63
другие;други́е;form;другой;друго́й;63
другого;друго́го;form;другой;друго́й;63
другого;друго́го;form;другой;друго́й;63
другой;друго́й;form;другой;друго́й;63
других;други́х;form;другой;друго́й;63
другому;друго́му;form;другой;друго́й;63
другому;друго́му;form;другой;друго́й;63
другой;друго́й;form;другой;друго́й;63
другим;други́м;form;другой;друго́й;63
другого;друго́го;form;другой;друго́й;63
другое;друго́е;form;другой;друго́й;63
другую;другу́ю;form;другой;друго́й;63
других;други́х;form;другой;друго́й;63
другой;друго́й;form;другой;друго́й;63
другие;други́е;form;другой;друго́й;63
другим;други́м;form;другой;друго́й;63
другим;други́м;form;другой;друго́й;63
другими;други́ми;form;другой;друго́й;63
другом;друго́м;form;другой;друго́й;63
другом;друго́м;form;другой;друго́й;63
другой;друго́й;form;другой;друго́й;63
других;други́х;form;другой;друго́й;63
свой;свой;normal;свой;свой;64
свой;свой;form;свой;свой;64
своё;своё;form;свой;свой;64
свое;своё;normal;свой;свой;64
своя;своя́;form;свой;свой;64
свои;свои́;form;свой;свой;64
своего;своего́;form;свой;свой;64
своего;своего́;form;свой;свой;64
своей;свое́й;form;свой;свой;64
своих;свои́х;form;свой;свой;64
своему;своему́;form;свой;свой;64
своему;своему́;form;свой;свой;64
